,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
0,ABCAPITAL,2494098.0,149.0,No,No,No,Yes,,,,,,,,
1,ABFRL,1009796.0,279.0,No,No,No,Yes,,,,,,Yes,,
2,ACE,489136.0,317.0,No,No,No,Yes,,,,Yes,63,,,Yes
3,ADANIENT,996830.0,3829.0,Yes,Yes,No,Yes,,,,,,,,
4,ADANIGREEN,803031.0,1860.0,Yes,No,No,Yes,,,,,,,,
5,ADANIPORTS,3116623.0,819.0,No,No,No,Yes,,,,,,,,
6,ADANITRANS,567075.0,2554.0,Yes,No,No,Yes,,,,,,,,
7,AEGISCHEM,305441.0,342.0,No,Yes,No,Yes,,,,,,,,
8,ALOKINDS,1287356.0,15.0,No,No,No,Yes,,,,,,,,
9,AMARAJABAT,391589.0,575.0,No,Yes,No,Yes,,,,,,,,
10,AMBUJACEM,3164776.0,524.0,No,Yes,No,Yes,,,,,,,,
11,ANANTRAJ,4250433.0,113.0,No,No,No,,Yes,21,,Yes,63,,,Yes
12,APOLLOTYRE,11847080.0,338.0,No,No,Yes,,Yes,,Yes,,63,,,
13,ARVIND,1394893.0,85.0,No,No,No,Yes,,,,Yes,,Yes,,
14,ASHOKA,577119.0,87.0,No,No,No,Yes,,,,Yes,,,,
15,ASHOKLEY,9357817.0,148.0,No,No,No,Yes,,,,Yes,,,,
16,ASIANPAINT,1113808.0,3004.0,No,No,No,,,,,Yes,,Yes,,
17,ASTRAMICRO,292660.0,281.0,No,No,No,Yes,,,,Yes,,,,
18,AUBANK,1987534.0,636.0,No,No,Yes,Yes,,,,Yes,,,,
19,AUROPHARMA,780475.0,443.0,No,No,No,,,,,Yes,,,,
20,AWL,1612997.0,573.0,No,No,No,Yes,,,,,,,,
21,AXISBANK,6998647.0,949.0,No,Yes,Yes,Yes,,,Yes,,,,,
22,BAJAJFINSV,5977371.0,1468.0,No,No,No,Yes,,,,Yes,,Yes,,
23,BAJAJHIND,7130848.0,16.0,No,No,No,Yes,,,,,,,,
24,BAJFINANCE,5100585.0,6100.0,No,No,No,Yes,,,,Yes,,Yes,,
25,BALRAMCHIN,1444648.0,389.0,No,No,Yes,Yes,,,,,,,,
26,BANDHANBNK,8342981.0,240.0,No,No,No,Yes,,,Yes,,,,,
27,BANKBARODA,21072038.0,184.0,No,No,No,Yes,,,,Yes,,,,
28,BANKINDIA,23247791.0,94.0,No,No,No,,Yes,,,Yes,,,,
29,BCG,5868782.0,28.0,No,No,No,Yes,,,,,,Yes,,
30,BDL,470528.0,939.0,Yes,Yes,No,Yes,,,,Yes,,,,
31,BEL,10445284.0,99.0,No,No,No,,,,,,,,,
32,BEPL,1190772.0,121.0,No,No,No,Yes,,,Yes,,,,,
33,BHARATFORG,1021532.0,879.0,No,Yes,Yes,Yes,,,,Yes,,,,
34,BHARTIARTL,5297216.0,807.0,No,Yes,No,,,,,Yes,,,,
35,BHEL,32798287.0,81.0,No,No,No,Yes,,,Yes,,,,,
36,BIOCON,1260492.0,260.0,No,No,No,,,,,,,,,
37,BLS,456577.0,170.0,No,No,No,Yes,,,,,,Yes,,
38,BOMDYEING,611421.0,78.0,No,No,No,Yes,,,,,,,,
39,BPCL,3711473.0,342.0,No,No,No,,Yes,,Yes,,,,,
40,BSOFT,1805304.0,291.0,No,No,No,Yes,,,,,,,,
41,CANBK,9143140.0,327.0,No,Yes,No,Yes,,,,Yes,,,,
42,CANFINHOME,847039.0,545.0,No,No,No,Yes,,,Yes,,63,,,
43,CASTROLIND,966576.0,128.0,No,No,No,Yes,,,Yes,,,,,
44,CENTRALBK,7244937.0,31.0,No,No,No,Yes,,,,,,,,
45,CESC,1019097.0,76.0,No,No,No,,,,,,,,,
46,CGPOWER,953333.0,270.0,No,No,No,Yes,,,,Yes,,,,
47,CHAMBLFERT,2614474.0,317.0,No,No,No,,Yes,21,,Yes,63,,,Yes
48,CHENNPETRO,424924.0,208.0,No,No,No,Yes,,,,,,,,
49,CHOLAFIN,3139578.0,683.0,No,No,No,Yes,,,,Yes,,Yes,,
50,CIPLA,1605636.0,1088.0,No,No,No,Yes,,,,Yes,,,,
51,COALINDIA,8810867.0,218.0,No,No,No,Yes,,,,Yes,,,,
52,COCHINSHIP,883052.0,517.0,No,Yes,No,Yes,,,,,,,,
53,CONCOR,730041.0,740.0,No,No,No,,,,,Yes,,,,
54,CONFIPET,1325430.0,78.0,No,No,No,Yes,,,,,,,,
55,COROMANDEL,729608.0,902.0,No,No,No,Yes,,,,Yes,,,,
56,CROMPTON,1204516.0,338.0,No,No,No,,,,,Yes,,,,
57,CSBBANK,613354.0,251.0,No,No,Yes,Yes,,,,Yes,,,,
58,CUB,1574134.0,177.0,No,No,No,Yes,,,,,,,,
59,DAAWAT,710854.0,116.0,No,No,No,Yes,,,,Yes,,,,
60,DABUR,2641261.0,572.0,No,No,No,,,,Yes,,,,,
61,DCAL,179695.0,92.0,No,No,No,Yes,,,,Yes,,,,
62,DCBBANK,1562173.0,129.0,No,No,No,Yes,,,,Yes,,,,
63,DEEPAKFERT,421251.0,707.0,Yes,No,No,Yes,,,,,,,,Yes
64,DELTACORP,1617813.0,214.0,No,No,No,Yes,,,,Yes,,,,
65,DEN,432045.0,34.0,No,No,No,Yes,,,,,,,,
66,DEVYANI,2983354.0,173.0,No,No,No,Yes,,,,Yes,,Yes,,
67,DHANI,1214728.0,39.0,No,No,No,Yes,,,,,,,,
68,DISHTV,8702287.0,18.0,No,No,No,Yes,,,,,,,,
69,DIVISLAB,270567.0,3461.0,No,No,Yes,,,,,Yes,,,,Yes
70,DLF,2499167.0,372.0,No,No,No,Yes,,,,,,,,
71,DWARKESH,701017.0,101.0,No,No,No,Yes,,,,,,,,
72,EASEMYTRIP,3289329.0,51.0,No,No,No,Yes,,,,,,,,
73,EDELWEISS,1189582.0,64.0,No,No,No,Yes,,,,,,,,
74,EICHERMOT,383718.0,3257.0,Yes,No,No,Yes,,,,Yes,,,,Yes
75,EIHOTEL,243194.0,175.0,No,No,No,Yes,,,,Yes,,,,
76,EKC,338583.0,96.0,No,No,No,Yes,,,,,,,,
77,ELECTCAST,1036746.0,38.0,No,No,No,Yes,,,,Yes,,,,
78,ENGINERSIN,22359029.0,84.0,No,No,No,Yes,,,Yes,,63,,,
79,EPL,177284.0,167.0,No,No,No,Yes,,,,,,,,
80,EQUITASBNK,4157413.0,59.0,No,No,No,Yes,,,Yes,,,,,
81,EXIDEIND,1361027.0,180.0,No,No,No,Yes,,,,,,,,
82,FACT,2809834.0,371.0,No,Yes,Yes,Yes,,,,Yes,63,,,Yes
83,FCL,172506.0,246.0,No,No,No,Yes,,,,,,,,
84,FEDERALBNK,8303952.0,136.0,No,No,No,Yes,,,,Yes,,,,
85,FILATEX,279146.0,44.0,No,No,No,Yes,,,,,,,,
86,FINPIPE,793431.0,184.0,No,No,Yes,Yes,,,,Yes,,,,
87,FORTIS,745802.0,287.0,No,No,No,,Yes,,Yes,,,,,
88,FSL,1159523.0,102.0,No,No,No,Yes,,,,,,,,
89,GABRIEL,366258.0,188.0,No,No,No,Yes,,,,Yes,,,,
90,GAIL,12376386.0,97.0,No,No,No,Yes,,,,Yes,63,,,
91,GATI,461000.0,139.0,No,No,No,Yes,,,,,,,,
92,GICRE,8172884.0,195.0,No,No,Yes,Yes,,,,Yes,,,,
93,GLENMARK,342415.0,434.0,No,No,No,Yes,,,,Yes,,,,
94,GMDCLTD,678241.0,148.0,No,No,No,Yes,,,,Yes,,,,
95,GMRINFRA,8057918.0,40.0,No,No,No,Yes,,,,,,,,
96,GNFC,1547954.0,572.0,Yes,No,No,Yes,,,Yes,,,,,
97,GODREJCP,3020873.0,916.0,No,No,Yes,,Yes,,Yes,,,,,
98,GPIL,459769.0,400.0,No,No,Yes,Yes,,,,Yes,,,,
99,GPPL,2392483.0,99.0,No,No,No,Yes,,,,Yes,,,,
100,GRANULES,508669.0,326.0,No,No,No,Yes,,,,,,,,
101,GREAVESCOT,641037.0,135.0,No,No,No,Yes,,,,,,,,
102,GRSE,636758.0,488.0,No,Yes,No,Yes,,,,Yes,,,,
103,GSFC,2687940.0,138.0,No,No,No,Yes,,,,Yes,,,,
104,GSPL,1167742.0,276.0,No,No,No,,Yes,,Yes,,,,,
105,GTLINFRA,23703470.0,1.0,No,No,No,Yes,,,,,,,,
106,GUJGASLTD,2056198.0,490.0,No,No,No,Yes,,,,Yes,,,,
107,HAL,644901.0,2511.0,Yes,Yes,No,Yes,,,,,,,,
108,HATHWAY,1233783.0,17.0,No,No,No,Yes,,,,,,,,
109,HAVELLS,2453128.0,1167.0,No,No,No,Yes,,,Yes,,21,,,Yes
110,HBLPOWER,1540756.0,103.0,No,No,No,Yes,,,,Yes,,,,
111,HCC,39422167.0,21.0,No,No,No,Yes,,,,Yes,63,,,
112,HCLTECH,2294863.0,1044.0,No,Yes,No,,,,Yes,,,,,
113,HDFC,2910348.0,2621.0,No,Yes,No,,,,,Yes,,,,
114,HDFCBANK,5469233.0,1599.0,No,Yes,No,,,,,Yes,,,,
115,HDFCLIFE,5704301.0,609.0,No,No,No,,Yes,189,Yes,,63,,,
116,HEMIPROP,653967.0,108.0,No,No,No,Yes,,,,,,,,
117,HFCL,5700048.0,74.0,No,No,No,Yes,,,,,,,,
118,HIKAL,572427.0,408.0,No,No,Yes,Yes,,,,Yes,,,,
119,HIMATSEIDE,301813.0,80.0,No,No,No,Yes,,,,,,Yes,,
120,HINDALCO,7084374.0,465.0,No,No,No,Yes,,,,Yes,,,,
121,HINDCOPPER,2871751.0,115.0,No,No,No,Yes,,,,Yes,,,,
122,HINDPETRO,5628889.0,245.0,No,No,No,,Yes,,Yes,,63,,,Yes
123,HINDUNILVR,2008280.0,2583.0,No,No,Yes,Yes,,,,Yes,,,,
124,HINDZINC,1187196.0,337.0,No,No,No,,Yes,2510,Yes,,63,,,
125,HSCL,1171437.0,97.0,No,No,No,Yes,,,,Yes,,,,
126,HUDCO,6479223.0,52.0,No,No,No,Yes,,,,,,,,
127,IBREALEST,8231305.0,77.0,No,No,No,Yes,,,,Yes,,,,
128,IBULHSGFIN,14118642.0,144.0,No,No,No,Yes,,,,,,,,
129,ICICIBANK,16541072.0,879.0,No,No,No,,,,,Yes,,Yes,,
130,ICICIGI,671470.0,1277.0,No,No,Yes,,Yes,,Yes,,,,,
131,ICICIPRULI,1070670.0,471.0,No,No,No,,Yes,,,Yes,,,,
132,IDBI,11117279.0,54.0,No,No,No,Yes,,,,,,,,
133,IDEA,97523766.0,7.0,No,No,No,Yes,,,,,,,,
134,IDFC,8172077.0,84.0,No,No,No,Yes,,,,Yes,,,,
135,IDFCFIRSTB,25808706.0,60.0,No,No,No,Yes,,,,Yes,,,,
136,IEX,2393342.0,140.0,No,No,No,Yes,,,,,,,,
137,IFCI,10292355.0,14.0,No,No,No,Yes,,,,,,,,
138,IGL,993761.0,421.0,No,No,No,Yes,,,,,,,,
139,INDHOTEL,2129433.0,314.0,No,No,No,Yes,,,,,,,,
140,INDIACEM,1898220.0,220.0,No,No,No,Yes,,,,,,,,
141,INDIANB,1506797.0,294.0,No,Yes,No,Yes,,,,Yes,,,,
142,INDIGO,849872.0,2037.0,No,No,Yes,Yes,,,Yes,,,,,
143,INDUSINDBK,2363861.0,1215.0,No,No,Yes,Yes,,,,Yes,,,,
144,INDUSTOWER,1219288.0,186.0,No,No,No,Yes,,,,,,,,
145,INFIBEAM,5033895.0,16.0,No,No,No,Yes,,,,,,,,
146,INFY,9866513.0,1475.0,No,Yes,No,,,,,Yes,,Yes,,
147,INOXWIND,149690.0,107.0,No,No,No,Yes,,,,,,,,
148,IOB,53321677.0,31.0,No,No,No,Yes,,,,,,,,
149,IOC,14446182.0,79.0,No,No,No,,Yes,,Yes,,,,,
150,IOLCP,189516.0,366.0,No,No,Yes,Yes,,,,,,,,
151,IRB,8945214.0,308.0,No,No,Yes,Yes,,,Yes,,,,,
152,IRCON,6747547.0,60.0,No,No,No,Yes,,,,Yes,,,,
153,IRCTC,860406.0,637.0,No,No,No,Yes,,,,,,,,
154,IRFC,45677807.0,32.0,No,No,No,Yes,,,,,,,,
155,ITC,8166809.0,333.0,No,No,No,,,,,,,,,
156,J&KBANK,5303308.0,56.0,No,No,No,Yes,,,,Yes,,,,
157,JAICORPLTD,796400.0,144.0,No,No,No,Yes,,,,,,,,
158,JAMNAAUTO,426080.0,104.0,No,No,No,Yes,,,,,,,,
159,JBMA,1945977.0,547.0,No,No,Yes,,Yes,126,Yes,,63,,,
160,JINDALSAW,7382714.0,113.0,No,No,No,,Yes,,Yes,,63,,,
161,JINDALSTEL,3140508.0,593.0,No,Yes,Yes,Yes,,,,Yes,,,,
162,JINDWORLD,659839.0,445.0,No,Yes,Yes,Yes,,,Yes,,,,,
163,JISLJALEQS,1728763.0,32.0,No,No,No,Yes,,,,,,,,
164,JKPAPER,597446.0,416.0,No,No,No,Yes,,,,Yes,,,,
165,JKTYRE,10452486.0,197.0,No,No,No,Yes,,,Yes,,,,,
166,JMFINANCIL,540201.0,71.0,No,No,No,Yes,,,,,,,,
167,JPASSOCIAT,9956099.0,10.0,No,No,No,Yes,,,,,,,,
168,JPPOWER,28083222.0,7.0,No,No,No,Yes,,,,,,,,
169,JSL,814314.0,237.0,No,Yes,Yes,Yes,,,,Yes,,,,
170,JSWENERGY,320575.0,281.0,No,No,No,Yes,,,,Yes,,,,
171,JSWISPL,825542.0,32.0,No,No,No,Yes,,,,Yes,,,,
172,JSWSTEEL,2451216.0,750.0,No,Yes,Yes,Yes,,,,Yes,,,,
173,JUBLFOOD,2848963.0,503.0,No,No,No,Yes,,,,Yes,,,,
174,JYOTHYLAB,608403.0,204.0,No,No,No,,,,,,,,,
175,KALYANKJIL,3905168.0,123.0,No,No,Yes,Yes,,,,,,,,
176,KARURVYSYA,4564820.0,111.0,No,No,No,Yes,,,,Yes,,,,
177,KNRCON,272364.0,263.0,No,No,No,Yes,,,,Yes,,,,
178,KOTAKBANK,1732415.0,1820.0,No,No,No,,,,,,,Yes,,
179,KPITTECH,571106.0,682.0,No,Yes,No,Yes,,,,,,,,
180,KTKBANK,1047201.0,154.0,No,Yes,No,Yes,,,,Yes,,,,
181,L&TFH,6157277.0,88.0,No,No,No,Yes,,,,,,,,
182,LAURUSLABS,769211.0,378.0,No,No,No,Yes,,,,,,,,
183,LEMONTREE,3146706.0,78.0,No,No,No,Yes,,,,,,,,
184,LICHSGFIN,3000211.0,420.0,No,No,Yes,Yes,,,Yes,,,Yes,,
185,LICI,1599210.0,727.0,,No,Yes,Yes,,,,Yes,,,,
186,LT,1881198.0,2087.0,No,Yes,Yes,Yes,,,,Yes,,,,
187,LUPIN,618372.0,742.0,No,Yes,No,Yes,,,,Yes,,,,
188,M&M,2745041.0,1252.0,Yes,No,No,Yes,,,,Yes,,,,
189,M&MFIN,7173871.0,235.0,No,No,No,Yes,,,Yes,,,,,
190,MAHABANK,35823431.0,31.0,No,No,No,Yes,,,,Yes,,,,
191,MAHINDCIE,598484.0,340.0,No,No,Yes,Yes,,,,Yes,63,,,Yes
192,MANAPPURAM,5399406.0,120.0,No,No,No,Yes,,,,Yes,,,,
193,MARICO,2901668.0,515.0,No,No,Yes,,,,,Yes,,,,
194,MARKSANS,618583.0,58.0,No,No,No,,,,,,,,,
195,MARUTI,417612.0,8461.0,Yes,No,No,Yes,,,,Yes,,,,Yes
196,MAXHEALTH,1176596.0,440.0,No,No,No,Yes,,,,Yes,,,,
197,MAZDOCK,2698759.0,814.0,No,Yes,No,Yes,,,,Yes,,,,
198,MCDOWELL-N,1124927.0,850.0,No,Yes,No,Yes,,,,Yes,,Yes,,
199,MFSL,2351151.0,735.0,No,No,No,,Yes,21,Yes,,,,,Yes
200,MIDHANI,262145.0,218.0,No,No,No,Yes,,,,Yes,,,,
201,MMTC,5714395.0,37.0,No,No,No,Yes,,,,Yes,,,,
202,MOREPENLAB,6452305.0,35.0,No,No,No,Yes,,,,,,,,
203,MOTHERSON,4882174.0,75.0,No,No,No,Yes,,,,Yes,,,,
204,MRPL,1460928.0,56.0,No,No,No,Yes,,,,,,,,
205,MSUMI,1683661.0,56.0,,No,No,Yes,,,,,,,,
206,MUTHOOTFIN,389879.0,1081.0,No,Yes,No,,,,,Yes,,,,
207,NATIONALUM,18649553.0,81.0,No,No,No,Yes,,,Yes,,,,,
208,NAVA,768728.0,246.0,No,No,Yes,Yes,,,,Yes,,,,
209,NBCC,4253653.0,39.0,No,No,No,Yes,,,,,,,,
210,NCC,12274527.0,93.0,No,No,No,,Yes,252,Yes,,63,,,
211,NETWORK18,663385.0,65.0,No,No,No,Yes,,,,,,,,
212,NFL,9124737.0,75.0,No,No,No,Yes,,,,Yes,,,,
213,NHPC,7071932.0,39.0,No,No,No,,,,,,,Yes,,
214,NIACL,4048409.0,135.0,No,No,Yes,Yes,,,,Yes,,,,
215,NLCINDIA,1819142.0,84.0,No,No,No,Yes,,,,,,,,
216,NTPC,18882210.0,169.0,No,No,No,Yes,,,Yes,,,,,
217,NYKAA,2160979.0,154.0,No,No,No,Yes,,,,,,,,
218,OIL,752446.0,210.0,No,No,No,Yes,,,,Yes,,,,
219,ONGC,16319506.0,146.0,No,No,No,Yes,,,Yes,,,,,
220,ORIENTCEM,4018251.0,139.0,No,No,No,,Yes,126,Yes,,63,,,
221,PAISALO,308595.0,77.0,No,No,No,Yes,,,,,,,,
222,PARADEEP,2053196.0,59.0,,No,No,Yes,,,,Yes,,,,
223,PAYTM,1525798.0,541.0,No,No,No,,Yes,,,Yes,21,,,Yes
224,PCBL,580541.0,128.0,No,No,No,Yes,,,,,,,,
225,PETRONET,3053422.0,220.0,No,No,No,,Yes,63,Yes,,63,,,
226,PFC,11379828.0,156.0,No,No,No,,Yes,,Yes,,,,,
227,PNB,82145583.0,56.0,No,No,No,Yes,,,,Yes,,,,
228,PNBHOUSING,2912399.0,562.0,No,Yes,Yes,Yes,,,,Yes,,,,
229,PNCINFRA,691525.0,304.0,No,No,No,Yes,,,,Yes,,,,
230,POLICYBZR,2355725.0,464.0,No,No,Yes,Yes,,,Yes,,,,,
231,POONAWALLA,2261722.0,292.0,No,No,No,Yes,,,,Yes,,,,
232,POWERGRID,15953148.0,208.0,No,No,No,,,,,Yes,,,,
233,PRAJIND,567895.0,368.0,No,No,No,Yes,,,,Yes,,,,
234,PRSMJOHNSN,1343038.0,109.0,No,No,No,Yes,,,Yes,,,,,
235,PVR,418715.0,1676.0,Yes,No,No,Yes,,,,,,Yes,,
236,RAILTEL,1633969.0,128.0,No,No,No,Yes,,,,Yes,,,,
237,RAIN,2188726.0,177.0,No,No,No,Yes,,,Yes,,21,,,
238,RAYMOND,384769.0,1479.0,Yes,Yes,Yes,Yes,,,,,,,,
239,RBLBANK,21905705.0,186.0,No,No,Yes,Yes,,,Yes,,63,,,
240,RCF,11996951.0,133.0,No,No,No,Yes,,,,Yes,,,,
241,RECLTD,9762508.0,123.0,No,No,No,,Yes,,,Yes,,,,
242,REDINGTON,2509275.0,188.0,No,No,No,Yes,,,,Yes,,,,
243,RELIANCE,6291619.0,2514.0,No,Yes,No,,,,,Yes,,Yes,,
244,RELIGARE,1457352.0,178.0,No,No,No,Yes,,,Yes,,,,,
245,RELINFRA,1119054.0,133.0,No,No,No,Yes,,,,,,,,
246,RENUKA,4964595.0,56.0,No,No,No,Yes,,,,,,,,
247,RHIM,305453.0,877.0,Yes,Yes,Yes,,Yes,2510,,Yes,63,,,
248,RITES,351749.0,335.0,No,Yes,No,Yes,,,,,,,,
249,RKFORGE,365137.0,252.0,No,No,Yes,Yes,,,,,,,,
250,RPOWER,8075051.0,14.0,No,No,No,Yes,,,,,,,,
251,RTNINDIA,613020.0,42.0,No,No,No,Yes,,,,,,,,
252,RTNPOWER,4900028.0,4.0,No,No,No,Yes,,,,,,,,
253,RVNL,6978379.0,72.0,No,No,No,Yes,,,,Yes,,,,
254,SAIL,24316108.0,87.0,No,No,No,Yes,,,Yes,,,,,
255,SBICARD,636989.0,779.0,No,No,No,,,,,,,Yes,,
256,SBILIFE,878764.0,1267.0,No,No,No,,,,,Yes,,,,
257,SBIN,8240396.0,605.0,No,Yes,No,Yes,,,,Yes,,,,
258,SCHNEIDER,5172271.0,186.0,No,No,No,,Yes,21,Yes,,63,,,Yes
259,SEQUENT,272968.0,86.0,No,No,No,Yes,,,,,,,,
260,SHARDACROP,123497.0,486.0,Yes,No,Yes,Yes,,,,Yes,,,,
261,SHILPAMED,60590.0,282.0,No,No,No,Yes,,,,,,,,
262,SHRIRAMFIN,461694.0,1319.0,No,No,Yes,Yes,,,,,,,,
263,SJVN,9812276.0,34.0,No,No,No,Yes,,,,Yes,,,,
264,SONACOMS,617978.0,415.0,No,No,No,Yes,,,,,,,,
265,SOUTHBANK,42771074.0,19.0,No,No,No,Yes,,,,Yes,,,,
266,SPARC,216429.0,210.0,No,No,No,Yes,,,,,,,,
267,SPICEJET,1997371.0,38.0,No,No,No,Yes,,,,,,,,
268,SRF,266378.0,2266.0,Yes,No,No,,,,,,,,,
269,STAR,252219.0,356.0,No,No,Yes,Yes,,,,,,,,
270,STEELXIND,2074670.0,14.0,No,No,No,Yes,,,,,,,,
271,STLTECH,412877.0,172.0,No,No,No,Yes,,,,,,,,
272,SUBEXLTD,9216184.0,35.0,No,No,No,,Yes,,Yes,,,,,
273,SUNPHARMA,2246404.0,1016.0,No,Yes,No,,Yes,,Yes,,,,,
274,SUNTV,260373.0,481.0,No,No,No,Yes,,,,,,,,
275,SURYODAY,662188.0,114.0,No,No,No,Yes,,,,,,,,
276,SUVENPHAR,238244.0,491.0,No,No,Yes,,,,,Yes,,,,
277,SUZLON,142699316.0,10.0,No,No,No,Yes,,,,,,,,
278,SWANENERGY,559500.0,322.0,No,No,Yes,Yes,,,,Yes,,,,
279,TATACHEM,834472.0,942.0,No,No,No,Yes,,,,,,,,
280,TATACOFFEE,866008.0,221.0,No,No,No,Yes,,,,Yes,63,,,
281,TATACOMM,421233.0,1326.0,No,Yes,No,Yes,,,,Yes,,,,
282,TATACONSUM,3197445.0,763.0,No,No,No,Yes,,,,Yes,,,,
283,TATAMOTORS,10441250.0,386.0,No,No,No,Yes,,,,,,,,
284,TATAMTRDVR,1611648.0,207.0,No,No,No,Yes,,,,Yes,,,,
285,TATAPOWER,10270028.0,207.0,No,No,No,Yes,,,,,,,,
286,TATASTEEL,58792148.0,116.0,No,No,No,Yes,,,Yes,,,,,
287,TCS,1825389.0,3311.0,No,Yes,No,,,,Yes,,,,,
288,TECHM,1375123.0,1011.0,No,No,No,,,,,,,,,
289,THOMASCOOK,184616.0,73.0,No,No,No,Yes,,,,,,,,
290,THYROCARE,86417.0,605.0,No,No,No,Yes,,,,,,,,
291,TIMETECHNO,596734.0,93.0,No,No,No,Yes,,,,Yes,,,,
292,TITAN,1544489.0,2562.0,No,No,No,Yes,,,Yes,,,,,
293,TRENT,617515.0,1279.0,Yes,No,No,Yes,,,,Yes,,Yes,,
294,TRIDENT,2393421.0,34.0,No,No,No,Yes,,,,,,,,
295,TRITURBINE,386935.0,244.0,No,Yes,No,Yes,,,,,,,,
296,TRIVENI,399159.0,283.0,No,No,No,Yes,,,,,,,,
297,TTML,951751.0,88.0,No,No,No,Yes,,,,,,,,
298,TV18BRDCST,2889709.0,37.0,No,No,No,Yes,,,,,,,,
299,TVSMOTOR,986801.0,1030.0,Yes,No,No,Yes,,,,,,,,
300,UCOBANK,22388109.0,32.0,No,No,No,Yes,,,,,,,,
301,UJJIVANSFB,8933988.0,30.0,No,No,No,Yes,,,,Yes,,,,
302,UNIONBANK,18329837.0,80.0,No,No,No,Yes,,,,,,,,
303,UPL,1407181.0,720.0,No,No,No,Yes,,,,,,,,
304,USHAMART,1160698.0,182.0,No,No,Yes,Yes,,,,Yes,,,,
305,UTIAMC,209794.0,841.0,No,No,Yes,Yes,,,,,,,,
306,VAKRANGEE,1196937.0,27.0,No,No,No,Yes,,,,,,,,
307,VBL,1752706.0,1308.0,Yes,Yes,Yes,Yes,,,,Yes,63,,,Yes
308,VEDL,6580813.0,311.0,No,No,No,Yes,,,,Yes,,,,
309,VIJAYA,87400.0,401.0,No,No,No,Yes,,,,,,Yes,,
310,VOLTAS,1361116.0,809.0,No,No,No,Yes,,,,,,,,
311,WELCORP,339907.0,226.0,No,No,No,Yes,,,,,,,,
312,WELENT,266899.0,169.0,No,No,No,Yes,,,,Yes,,,,
313,WELSPUNIND,687791.0,74.0,No,No,No,Yes,,,,,,,,
314,WIPRO,4782940.0,386.0,No,No,No,,,,,Yes,,,,
315,WOCKPHARMA,1139314.0,235.0,No,No,No,Yes,,,,Yes,63,,,
316,YESBANK,206993869.0,21.0,No,No,No,Yes,,,,Yes,,,,
317,ZEEL,4487874.0,239.0,No,No,No,Yes,,,,,,,,
318,ZENSARTECH,1328162.0,210.0,No,No,No,Yes,,,,Yes,,Yes,,
319,ZOMATO,34445918.0,56.0,No,No,No,Yes,,,,,,,,
