,Symbol,Current_Price,Engullfin,Trustinline,TweezerBottom,RsiComparator,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout
0,3MINDIA,23086.0,,,,,DownTrend,,,,,,,,
1,AARTIDRUGS,460.0,,,,,DownTrend,,,,Yes,Yes,,,
2,AAVAS,1878.0,,,,,DownTrend,,,,,,,,
3,ABB,2944.0,,,,,DownTrend,Yes,,,,,,,
4,ABBOTINDIA,20196.0,,,,,DownTrend,Yes,,,,,Yes,,
5,ABCAPITAL,158.0,,,,,UpTrend,Yes,,,,Yes,,,
6,ABFRL,311.0,,,,,DownTrend,,,,,,,,
7,ABSLAMC,432.0,,,,,DownTrend,,,,,,Yes,,
8,ACC,2621.0,,,,,UpTrend,,Yes,21,Yes,Yes,,,
9,ACCELYA,1618.0,,,,,DownTrend,Yes,,,,,Yes,,
10,ACE,339.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
11,ADANIENT,4031.0,,,,,UpTrend,,,,Yes,Yes,,,
12,ADANIGREEN,2063.0,,,,,DownTrend,Yes,,,,,Yes,,
13,ADANIPORTS,896.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
14,ADANITRANS,2773.0,,,,,DownTrend,Yes,,,,,,,
15,ADVENZYMES,315.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
16,AEGISCHEM,323.0,,,,,UpTrend,Yes,,,,,,,
17,AETHER,913.0,,,,,DownTrend,Yes,,,Yes,,,,
18,AFFLE,1217.0,,,,,DownTrend,Yes,,,,,,,
19,AGI,316.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
20,AHLUCONT,452.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,Yes wait for breakout of resistance => 452.79998779296875
21,AIAENG,2781.0,,,,,DownTrend,,Yes,,,,Yes,,
22,AJANTPHARM,1235.0,,,,,DownTrend,,,,,,Yes,,
23,AKZOINDIA,2301.0,,,,,DownTrend,,,,,,,,
24,ALEMBICLTD,77.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
25,ALKEM,3101.0,,,,,DownTrend,,,,,,,,
26,ALKYLAMINE,2817.0,,,,,DownTrend,,,,,,,,
27,ALLCARGO,419.0,,,,,DownTrend,Yes,,,,,,,
28,ALOKINDS,15.0,,,,,DownTrend,Yes,,,,,,,
29,AMARAJABAT,660.0,,,,,DownTrend,,Yes,252,,,Yes,,
30,AMBER,2020.0,,,,,DownTrend,Yes,,,,,Yes,,
31,AMBUJACEM,581.0,,,,,DownTrend,,Yes,,,Yes,,,
32,AMIORG,968.0,,,,,DownTrend,Yes,,,,Yes,,,
33,AMRUTANJAN,703.0,,,,,DownTrend,,,,,,Yes,,
34,ANANDRATHI,708.0,,,,,DownTrend,,,,,,Yes,,
35,ANANTRAJ,100.0,,,,,DownTrend,Yes,,,,,,,
36,ANDHRSUGAR,138.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
37,ANGELONE,1567.0,,,,,DownTrend,Yes,,,,,Yes,,
38,ANURAS,719.0,,,,,DownTrend,,,,,,,,
39,APARINDS,1613.0,,,,,DownTrend,,Yes,,,Yes,,,
40,APCOTEXIND,498.0,,,,,DownTrend,,Yes,,,Yes,,,
41,APLAPOLLO,1115.0,,,,,DownTrend,Yes,,,,Yes,,,
42,APLLTD,590.0,,,,,DownTrend,Yes,,,,,,,
43,APOLLOHOSP,4788.0,,,,,DownTrend,Yes,,,,,Yes,,
44,APOLLOPIPE,503.0,,,,,DownTrend,Yes,,,,,Yes,,
45,APOLLOTYRE,319.0,,,,,UpTrend,,,,,,Yes,,
46,APTUS,306.0,,,,,DownTrend,Yes,,,,,Yes,,
47,ARVIND,101.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
48,ARVINDFASN,340.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
49,ASAHIINDIA,606.0,,,,,DownTrend,,,,,,,,
50,ASHOKA,80.0,,,,,DownTrend,Yes,,,,,Yes,,
51,ASHOKLEY,145.0,,,,,DownTrend,,,,,,,,
52,ASIANPAINT,3161.0,,,,,DownTrend,,,,Yes,Yes,,,
53,ASTEC,1933.0,,,,,DownTrend,Yes,,,,,Yes,,
54,ASTERDM,227.0,,,,,DownTrend,Yes,,,,,,,
55,ASTRAL,2034.0,,,,,DownTrend,Yes,,,,,Yes,,
56,ASTRAMICRO,321.0,,,,,DownTrend,Yes,,,,Yes,,,Yes wait for breakout of resistance => 321.79998779296875
57,ASTRAZEN,3325.0,,,,,DownTrend,,,,Yes,,,,
58,ATGL,3696.0,,,,,DownTrend,,,,Yes,Yes,,,
59,ATUL,8694.0,,,,,DownTrend,Yes,,,,,Yes,,
60,AUBANK,649.0,,,,,UpTrend,Yes,,,,Yes,,,
61,AUROPHARMA,465.0,,,,,DownTrend,,,,,,,,
62,AUTOAXLES,1935.0,,,,,DownTrend,Yes,,,,,Yes,,
63,AVANTIFEED,401.0,,,,,DownTrend,Yes,,,,,Yes,,
64,AWL,648.0,,,,,DownTrend,,,,,Yes,,,
65,AXISBANK,904.0,,,,,DownTrend,Yes,,,,,Yes,,
66,BAJAJ-AUTO,3694.0,,,,,DownTrend,,,,Yes,,Yes,,
67,BAJAJCON,178.0,,,,Yes,UpTrend,,Yes,189,,Yes,,,Yes wait for breakout of resistance => 178.85000610351562
68,BAJAJELEC,1116.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
69,BAJAJFINSV,1635.0,,,,,DownTrend,,,,,,,,
70,BAJAJHIND,16.0,,,,Yes,DownTrend,,Yes,126,,Yes,,,
71,BAJAJHLDNG,6185.0,,,,,DownTrend,Yes,,,,,,,
72,BAJFINANCE,6698.0,,,,,DownTrend,,,,,,,,
73,BALAMINES,2889.0,,,,,DownTrend,Yes,,,,,Yes,,
74,BALKRISIND,2063.0,,,,,DownTrend,Yes,,,,,Yes,,
75,BALMLAWRIE,122.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
76,BALRAMCHIN,380.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
77,BANDHANBNK,244.0,,,,,DownTrend,,Yes,21,,,Yes,,
78,BANKBARODA,174.0,,,,,DownTrend,,Yes,1008,,Yes,,,
79,BANKINDIA,90.0,,,,,DownTrend,,Yes,756,,Yes,,,
80,BARBEQUE,1038.0,,,,,DownTrend,Yes,,,,,,,
81,BASF,2728.0,,,,,DownTrend,,Yes,,,Yes,,,
82,BATAINDIA,1714.0,,,,,UpTrend,,,,,,Yes,,
83,BAYERCROP,4781.0,,,,,DownTrend,,Yes,21,Yes,Yes,,,
84,BBTC,1015.0,,,,,DownTrend,Yes,,,,,Yes,,
85,BCG,32.0,,,,,DownTrend,Yes,,,,,Yes,Yes,
86,BDL,959.0,,,,,DownTrend,,,,,,Yes,,
87,BECTORFOOD,434.0,,,,,DownTrend,Yes,,,,,Yes,,
88,BEL,105.0,,,,Yes,DownTrend,Yes,,,,,,,
89,BEPL,114.0,,,,,UpTrend,Yes,,,,,Yes,,
90,BERGEPAINT,618.0,,,,,DownTrend,,,,,,Yes,,
91,BESTAGRO,1674.0,,,,,UpTrend,Yes,,,,,Yes,,
92,BFUTILITIE,429.0,,,,Yes,DownTrend,,Yes,21,Yes,Yes,,,
93,BHARATFORG,841.0,,,,,DownTrend,,,,,,Yes,,
94,BHARATRAS,10170.0,,,,,UpTrend,,,,Yes,,Yes,,
95,BHARTIARTL,833.0,,,,,DownTrend,,,,,,Yes,,
96,BHEL,88.0,,,,,DownTrend,Yes,,,,,Yes,,
97,BIOCON,273.0,,,,,DownTrend,,,,,,Yes,,
98,BIRLACORPN,961.0,,,,,UpTrend,Yes,,,,,Yes,,
99,BLS,364.0,,,,,DownTrend,Yes,,,,Yes,,,
100,BLUEDART,7499.0,,,,,DownTrend,Yes,,,,,Yes,,
101,BLUESTARCO,1237.0,,,,,DownTrend,,Yes,,,,Yes,,
102,BOMDYEING,84.0,,,,,UpTrend,Yes,,,,,Yes,,
103,BOROLTD,411.0,,,,,DownTrend,Yes,,,,,,,
104,BORORENEW,539.0,,,,,DownTrend,Yes,,,,,,,
105,BOSCHLTD,17286.0,,,,,UpTrend,,Yes,21,,Yes,,,
106,BPCL,328.0,,,,Yes,DownTrend,Yes,,,,Yes,,,
107,BRIGADE,499.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
108,BRITANNIA,4424.0,,,,,DownTrend,Yes,,,,,Yes,,
109,BSE,582.0,,,,,DownTrend,,Yes,,,Yes,,,
110,BSOFT,323.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
111,BUTTERFLY,1556.0,,,,,DownTrend,Yes,,,,,,,
112,CAMLINFINE,154.0,,,,,DownTrend,Yes,,,,,Yes,,
113,CAMPUS,459.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
114,CAMS,2269.0,,,,,DownTrend,,,,,,Yes,,
115,CANBK,318.0,,,,,DownTrend,Yes,,,,Yes,,,
116,CANFINHOME,558.0,,,,,DownTrend,Yes,,,,Yes,,,
117,CAPLIPOINT,761.0,,,,,DownTrend,Yes,,,,,Yes,,
118,CARBORUNIV,848.0,,,,,DownTrend,Yes,,,,,Yes,,
119,CARERATING,580.0,,,,,DownTrend,,Yes,189,,,Yes,,
120,CARTRADE,502.0,,,,,DownTrend,Yes,,,,,Yes,,
121,CARYSIL,515.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
122,CASTROLIND,128.0,,,,,DownTrend,,,,,,,,
123,CCL,507.0,,,,,DownTrend,Yes,,,,,,,
124,CDSL,1227.0,,,,,DownTrend,,,,,,,,
125,CEATLTD,1878.0,,,,,DownTrend,Yes,,,,,Yes,,
126,CENTRALBK,26.0,,,,,DownTrend,,,252,,Yes,,,
127,CENTURYPLY,569.0,,,,,DownTrend,Yes,,,,,Yes,,
128,CENTURYTEX,796.0,,,,,DownTrend,,,,,,Yes,,
129,CERA,5287.0,,,,,DownTrend,Yes,,,,,Yes,,
130,CESC,75.0,,,,,DownTrend,Yes,,,,,Yes,,
131,CGCL,767.0,,,,,UpTrend,,Yes,126,,Yes,,,
132,CGPOWER,280.0,,,,,DownTrend,Yes,,,,,Yes,,
133,CHALET,359.0,,,,,DownTrend,Yes,,,,,Yes,,
134,CHAMBLFERT,307.0,,,,,DownTrend,Yes,,,,,Yes,,
135,CHEMPLASTS,433.0,,,,,DownTrend,Yes,,,,,Yes,,
136,CHENNPETRO,213.0,,,,,DownTrend,Yes,,,,,Yes,,
137,CHOICEIN,268.0,,,,,DownTrend,Yes,,,,,,,
138,CHOLAFIN,734.0,,,,,DownTrend,Yes,,,,,Yes,,
139,CHOLAHLDNG,599.0,,,,,UpTrend,,,,,,Yes,,
140,CIGNITITEC,554.0,,,,,DownTrend,Yes,,,,Yes,,,
141,CIPLA,1109.0,,,,,DownTrend,,,,,,,,
142,CLEAN,1565.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
143,CMSINFO,334.0,,,,,DownTrend,,,,,,,,
144,COALINDIA,231.0,,,,,DownTrend,,,,Yes,,Yes,,
145,COCHINSHIP,642.0,,,,,DownTrend,Yes,,,,,,,
146,COFORGE,4079.0,,,,,DownTrend,Yes,,,,,Yes,,
147,COLPAL,1586.0,,,,,DownTrend,,,,,,Yes,,
148,CONCOR,764.0,,,,,DownTrend,Yes,,,,,Yes,,
149,CONFIPET,80.0,,,,,DownTrend,Yes,,,Yes,,Yes,,
150,COROMANDEL,915.0,,,,,DownTrend,,,,,Yes,,,
151,COSMOFIRST,820.0,,,,,DownTrend,Yes,,,,,Yes,,
152,CRAFTSMAN,3271.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
153,CREDITACC,900.0,,,,,DownTrend,Yes,,,,,Yes,,
154,CRISIL,2838.0,,,,,DownTrend,Yes,,,,,,,
155,CROMPTON,362.0,,,,,DownTrend,,,,,,,,
156,CSBBANK,223.0,,,,Yes,DownTrend,,,,,Yes,,,
157,CUB,194.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
158,CUMMINSIND,1449.0,,,,,UpTrend,,Yes,2510,,,Yes,,
159,CYIENT,849.0,,,,,DownTrend,Yes,,,,Yes,,,
160,DAAWAT,112.0,,,,,DownTrend,,,,,,,,
161,DABUR,592.0,,,,,DownTrend,Yes,,,,,Yes,,
162,DALBHARAT,1866.0,,,,,DownTrend,Yes,,,,Yes,,,
163,DALMIASUG,374.0,,,,Yes,UpTrend,,Yes,63,,Yes,,,
164,DATAMATICS,308.0,,,,,DownTrend,,,,,,,,
165,DATAPATTNS,1318.0,,,,,UpTrend,Yes,,,,,,,
166,DBL,237.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
167,DBREALTY,101.0,,,,,DownTrend,Yes,,,,,Yes,,
168,DCAL,98.0,,,,,DownTrend,Yes,,,,,Yes,,
169,DCBBANK,132.0,,,,,DownTrend,Yes,,,,,Yes,,
170,DCMSHRIRAM,899.0,,,,,UpTrend,,,,,,Yes,,
171,DEEPAKFERT,790.0,,,,,DownTrend,Yes,,,,,,,
172,DEEPAKNTR,2238.0,,,,,UpTrend,Yes,,,,,Yes,,
173,DELHIVERY,345.0,,,,,DownTrend,Yes,,,,,Yes,,
174,DELTACORP,235.0,,,,,DownTrend,,Yes,126,,Yes,,,
175,DEN,35.0,,,,Yes,DownTrend,Yes,,,,,,,
176,DEVYANI,191.0,,,,,DownTrend,,,,,Yes,,,
177,DFMFOODS,407.0,,,,,UpTrend,Yes,,,,Yes,,,
178,DHANI,46.0,,,,,DownTrend,Yes,,,,,Yes,,
179,DHANUKA,698.0,,,,,DownTrend,,,,,,,,
180,DISHTV,21.0,,,,,UpTrend,Yes,,,,,Yes,,
181,DIVISLAB,3355.0,,,,,DownTrend,,,,,,Yes,,
182,DIXON,4328.0,,,,,DownTrend,,,,,,,,
183,DLF,414.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
184,DMART,4063.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
185,DOLATALGO,67.0,,,,,DownTrend,,,,,,,,
186,DOLLAR,431.0,,,,,DownTrend,,,,,Yes,,,
187,DRREDDY,4374.0,,,,,DownTrend,,,,,,,,
188,DWARKESH,100.0,,,,,UpTrend,,Yes,,,Yes,,,
189,EASEMYTRIP,55.0,,,,Yes,DownTrend,Yes,,,,,,,
190,ECLERX,1417.0,,,,,DownTrend,,,,,,,,
191,EDELWEISS,69.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
192,EICHERMOT,3299.0,,,,,DownTrend,Yes,,,,,Yes,,
193,EIDPARRY,598.0,,,,,DownTrend,,,,,,,,
194,EIHOTEL,179.0,,,,,DownTrend,,Yes,,Yes,,Yes,,
195,EKC,98.0,,,,,DownTrend,Yes,,,,Yes,,,
196,ELECON,441.0,,,,,DownTrend,Yes,,,,,,,
197,ELECTCAST,39.0,,,,Yes,DownTrend,,,,,,,,
198,ELGIEQUIP,516.0,,,,,UpTrend,,Yes,21,Yes,Yes,,,
199,EMAMILTD,446.0,,,,,DownTrend,Yes,,,,Yes,,,
200,EMUDHRA,308.0,,,,,DownTrend,Yes,,,,,Yes,,
201,ENDURANCE,1473.0,,,,,DownTrend,,,,,,,,
202,ENGINERSIN,78.0,,,,,DownTrend,Yes,,,,,,,
203,EPL,162.0,,,,,DownTrend,Yes,,,,Yes,,,
204,EQUITASBNK,59.0,,,,,DownTrend,,Yes,,,Yes,,,
205,ESABINDIA,4197.0,,,,,DownTrend,,Yes,2510,,,Yes,,
206,ESCORTS,2298.0,,,,,DownTrend,Yes,,,,,Yes,,
207,ETHOSLTD,991.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
208,EVEREADY,360.0,,,,,DownTrend,Yes,,,,Yes,,,
209,EXIDEIND,191.0,,,,,UpTrend,,Yes,252,,,Yes,,
210,FACT,147.0,,,,,DownTrend,Yes,,,Yes,Yes,,,
211,FAIRCHEMOR,1567.0,,,,,DownTrend,,Yes,,Yes,Yes,,,
212,FCL,317.0,,,,,DownTrend,Yes,,,,,,,
213,FDC,285.0,,,,,DownTrend,,,,Yes,,Yes,,
214,FEDERALBNK,134.0,,,,,DownTrend,,,,,Yes,,,
215,FILATEX,97.0,,,,,DownTrend,,,,,Yes,,,
216,FINCABLES,562.0,,,,,DownTrend,Yes,,,,,Yes,,
217,FINEORG,6111.0,,,,,DownTrend,,,,,,,,
218,FINOPB,233.0,,,,Yes,DownTrend,Yes,,,,,Yes,,
219,FINPIPE,172.0,,,,,UpTrend,Yes,,,,,Yes,,
220,FLUOROCHEM,3253.0,,,,,DownTrend,Yes,,,,,Yes,,
221,FORCEMOT,1550.0,,,,,DownTrend,Yes,,,,,Yes,,
222,FORTIS,291.0,,,,,DownTrend,Yes,,,,Yes,,,
223,FSL,112.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
224,GABRIEL,184.0,,,,,DownTrend,Yes,,,,,Yes,,
225,GAEL,233.0,,,,,DownTrend,Yes,,,,,Yes,,
226,GAIL,93.0,,,,,DownTrend,Yes,,,,,Yes,,
227,GALAXYSURF,2796.0,,,,,DownTrend,Yes,,,Yes,,,,
228,GANESHHOUC,343.0,,,,,DownTrend,,,,,,Yes,,
229,GARFIBRES,3397.0,,,,,DownTrend,Yes,,,,,Yes,,
230,GATEWAY,68.0,,,,Yes,DownTrend,Yes,,,Yes,,,,
231,GATI,161.0,,,,,DownTrend,,,,,,,,
232,GEOJITFSL,48.0,,,,,DownTrend,,Yes,21,,,Yes,,
233,GESHIP,682.0,,,,,DownTrend,Yes,,,,,Yes,,
234,GICRE,147.0,,,,,DownTrend,Yes,,,,,Yes,,
235,GLAND,1734.0,,,,,DownTrend,Yes,,,,,,,
236,GLAXO,1328.0,,,,,DownTrend,,,,,,Yes,,
237,GLENMARK,425.0,,,,Yes,DownTrend,Yes,,,,,,,
238,GLOBUSSPR,883.0,,,,,UpTrend,Yes,,,,,Yes,,
239,GLS,433.0,,,,,DownTrend,,,,,,Yes,,
240,GMDCLTD,157.0,,,,Yes,UpTrend,Yes,,,,,Yes,,
241,GMMPFAUDLR,1902.0,,,,,DownTrend,,,,,,,,
242,GMRINFRA,43.0,,,,Yes,UpTrend,Yes,,,,Yes,,,
243,GNFC,596.0,,,,,DownTrend,Yes,,,,,Yes,,
244,GOCOLORS,1155.0,,,,,DownTrend,Yes,,,,,,,
245,GODFRYPHLP,1771.0,,,,,DownTrend,Yes,,,,,,,
246,GODREJAGRO,485.0,,,,,DownTrend,Yes,,,,,Yes,,
247,GODREJCP,885.0,,,,,UpTrend,,Yes,21,Yes,,Yes,,
