,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
187,DRREDDY,162147.0,4238.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
188,DWARKESH,2166452.0,105.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 106,,,,,
189,EASEMYTRIP,5275736.0,53.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
190,ECLERX,15771.0,1278.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
191,EDELWEISS,1219959.0,64.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
192,EICHERMOT,323223.0,3213.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,
193,EIDPARRY,147697.0,575.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
194,EIHOTEL,314279.0,179.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
195,EKC,401557.0,100.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 101,,,Yes,,
196,ELECON,268739.0,373.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
197,ELECTCAST,1281589.0,39.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,,,
198,ELGIEQUIP,213718.0,410.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 475,,,,,CMO less than -25 Sell Signal 
199,EMAMILTD,204904.0,429.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
200,EMUDHRA,40562.0,309.0,,,,,,,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,
201,ENDURANCE,8035.0,1381.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1499,,,Yes,,CMO less than -25 Sell Signal 
202,ENGINERSIN,2027041.0,80.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,Yes,,,,,,,
203,EPL,168255.0,169.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 191,,,,,CMO less than -25 Sell Signal 
204,EQUITASBNK,2476344.0,59.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
205,ESABINDIA,5133.0,4253.0,,,,,,Yes,Yes,Yes,No,DownTrend,,Yes,2510,,,Yes,,,63,,,False,
206,ESCORTS,305453.0,2166.0,,,,,,Yes,Yes,No,No,DownTrend,Yes,,,Yes,,Yes,,Before wait for breakout of resistance => 2196,,,,,
207,ETHOSLTD,11997.0,1015.0,,,,,,,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,
208,EVEREADY,32649.0,355.0,,,,,,No,No,No,No,DownTrend,,,,,,,,Before wait for breakout of resistance => 385,,,Yes,,
209,EXIDEIND,1729288.0,180.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
210,FACT,1333036.0,337.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,False,
211,FAIRCHEMOR,15673.0,1301.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1625,,,,,
212,FCL,267839.0,252.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
213,FDC,53832.0,274.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
214,FEDERALBNK,24554724.0,137.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,63,,,,
215,FILATEX,214079.0,45.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
216,FINCABLES,366188.0,560.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,Yes,Yes,,,Before wait for breakout of resistance => 567,,,,,
217,FINEORG,15166.0,5646.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,
218,FINOPB,47220.0,247.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 262,,,,,
219,FINPIPE,816028.0,188.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,Yes,,Yes,,,63,,,,
220,FLUOROCHEM,38014.0,3100.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
221,FORCEMOT,61049.0,1499.0,,,,,,No,Yes,No,No,DownTrend,,,,Yes,Yes,,,,63,,,,
222,FORTIS,280765.0,283.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,Before wait for breakout of resistance => 303,,,,,
223,FSL,825496.0,103.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
224,GABRIEL,318032.0,190.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,Yes,,,,,,,
225,GAEL,177568.0,253.0,,,,,True,No,No,No,,UpTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 254,,,,,
226,GAIL,6050701.0,96.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,Yes,,,,,,,
227,GALAXYSURF,5864.0,2467.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
228,GANESHHOUC,27164.0,364.0,,,,,,No,No,No,,DownTrend,,Yes,21,Yes,,Yes,,,,,,,CMO greater than 25 Buy Signal 
229,GARFIBRES,4722.0,3122.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
230,GATEWAY,300931.0,69.0,,,,,,,No,No,No,UpTrend,,Yes,,Yes,,Yes,,,,,,,
231,GATI,246490.0,143.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 145,,,,,
232,GEOJITFSL,272612.0,47.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
233,GESHIP,182324.0,661.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,,,,,,,False,CMO less than -25 Sell Signal 
234,GICRE,8723871.0,196.0,,,,,,No,No,Yes,No,DownTrend,,Yes,252,,,Yes,,,63,,,,
235,GLAND,95927.0,1575.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1877,,Yes,,,CMO less than -25 Sell Signal 
236,GLAXO,50783.0,1303.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
237,GLENMARK,735382.0,434.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
238,GLOBUSSPR,53980.0,842.0,,,,,,No,No,Yes,,UpTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
239,GLS,39872.0,418.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
240,GMDCLTD,1049264.0,151.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,,,
241,GMMPFAUDLR,254010.0,1601.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
242,GMRINFRA,6123079.0,40.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,,,,,,,,
243,GNFC,749246.0,567.0,,,,,,Yes,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
244,GOCOLORS,13747.0,1174.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
245,GODFRYPHLP,93270.0,1998.0,,,,,,No,Yes,Yes,No,UpTrend,Yes,,,,,Yes,,,,,,False,
246,GODREJAGRO,33317.0,474.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
247,GODREJCP,910243.0,892.0,,,,,,No,No,Yes,No,DownTrend,,,,,Yes,,,,,,,,
248,GODREJIND,54190.0,438.0,,,,,,No,No,Yes,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
249,GODREJPROP,490937.0,1243.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
250,GOKEX,79252.0,366.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
251,GOODYEAR,37921.0,1140.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,Yes,,,Before wait for breakout of resistance => 1155,,,Yes,,
252,GPIL,1139704.0,409.0,,,,,,No,No,Yes,No,DownTrend,,Yes,126,,Yes,,,,63,,,,
253,GPPL,3493525.0,104.0,,,,,,No,No,No,No,UpTrend,,Yes,252,,,Yes,,,63,,,,CMO > 25 and < 30 Strong Buy Signal => 27.744512315462977
254,GRANULES,1639085.0,326.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
255,GRAPHITE,457363.0,384.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 390,,,,,
256,GRASIM,546467.0,1717.0,,,,,,No,Yes,Yes,,DownTrend,,,,,,Yes,,,,,,False,
257,GRAVITA,131984.0,449.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,False,
258,GREAVESCOT,852027.0,137.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
259,GREENPANEL,146602.0,341.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
260,GREENPLY,53451.0,146.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
261,GRINDWELL,51122.0,1847.0,,,,,,Yes,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
262,GRINFRA,11051.0,1178.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
263,GRSE,1734760.0,492.0,,,,,,No,Yes,No,Yes,DownTrend,Yes,,,,Yes,,,,,,,,
264,GRWRHITECH,10628.0,670.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
265,GSFC,2252791.0,139.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
266,GSPL,286139.0,272.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,Yes,,,,,,,
267,GTLINFRA,10357178.0,1.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
268,GUFICBIO,86881.0,225.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 230,,,,,
269,GUJALKALI,102507.0,778.0,,,,,,Yes,No,No,,DownTrend,,Yes,,,Yes,,,,21,,,,
270,GUJGASLTD,866133.0,490.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
271,GULFOILLUB,20160.0,432.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
272,HAL,554863.0,2539.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
273,HAPPSTMNDS,170916.0,887.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
274,HATHWAY,2313547.0,17.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 19,,,,,CMO less than -25 Sell Signal 
275,HATSUN,39040.0,899.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,Before wait for breakout of resistance => 941,,,,,
276,HAVELLS,998602.0,1127.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,CMO less than -25 Sell Signal 
277,HBLPOWER,1551055.0,105.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,,,Yes,,,,,,,
278,HCC,45280324.0,21.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,Yes,,,63,,,,
279,HCG,42616.0,284.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,CMO less than -25 Sell Signal 
280,HCLTECH,2484318.0,1041.0,,,,,,No,Yes,No,No,DownTrend,,,,Yes,Yes,,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 26.93654866032746
281,HDFC,2262442.0,2664.0,,,,,,No,Yes,No,No,DownTrend,,,,Yes,,Yes,,,,,,,
282,HDFCAMC,169501.0,2189.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 2273,,,,False,CMO less than -25 Sell Signal 
283,HDFCBANK,4187907.0,1639.0,,,,,,No,Yes,Yes,No,DownTrend,,,,Yes,,Yes,,,,,,False,
284,HDFCLIFE,10092755.0,595.0,,,,,,No,No,No,No,DownTrend,,Yes,21,Yes,Yes,,,,21,,,,CMO > 25 and < 30 Strong Buy Signal => 25.442899503952557
285,HEG,306628.0,1077.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,,,,,,
286,HEIDELBERG,102163.0,189.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
287,HEMIPROP,1672077.0,112.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,Yes,,,Before wait for breakout of resistance => 113,,,,,
288,HERANBA,23167.0,500.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
289,HERITGFOOD,179589.0,371.0,,,,,,No,No,Yes,No,DownTrend,,Yes,,,Yes,,,,,,,,
290,HEROMOTOCO,136699.0,2720.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
291,HFCL,9278764.0,76.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
292,HGINFRA,325830.0,639.0,,,,,,No,No,No,No,UpTrend,Yes,,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
293,HGS,14436.0,1336.0,,,,,,No,No,Yes,,DownTrend,Yes,,,Yes,,,,,,,,,
294,HIKAL,3993225.0,416.0,,,,,,No,No,Yes,Yes,DownTrend,,Yes,,,Yes,,,,63,,,,CMO greater than 25 Buy Signal 
295,HIL,8684.0,2716.0,,,,,,No,No,Yes,,DownTrend,Yes,,,Yes,Yes,,,,,,,,
296,HIMATSEIDE,863440.0,83.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
297,HINDALCO,5903712.0,479.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
298,HINDCOPPER,4397378.0,116.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,,,
299,HINDOILEXP,168151.0,139.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
300,HINDPETRO,1689575.0,237.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,Yes,,Yes,,,,,,,
301,HINDUNILVR,821537.0,2542.0,,,,,,No,No,Yes,,DownTrend,Yes,,,,,,,,,Yes,,,CMO less than -25 Sell Signal 
302,HINDWAREAP,241335.0,459.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
303,HINDZINC,1353520.0,331.0,,,,,,No,No,No,No,DownTrend,,Yes,2510,,Yes,,,,63,,,,
304,HLEGLAS,13935.0,660.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 689,,,,,
305,HNDFDS,9781.0,613.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
306,HOMEFIRST,42469.0,739.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
307,HONAUT,2516.0,41044.0,,,,,,No,Yes,Yes,,DownTrend,,,,,,,,,,,,False,
308,HSCL,936990.0,99.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
309,HUDCO,7581775.0,53.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
310,IBREALEST,5365187.0,83.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
311,IBULHSGFIN,13657223.0,150.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
312,ICICIBANK,5846160.0,901.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,
313,ICICIGI,1324002.0,1267.0,,,,,,No,No,Yes,No,DownTrend,,Yes,63,,Yes,,,,21,,,,CMO greater than 25 Buy Signal 
314,ICICIPRULI,4107703.0,468.0,,,,,,No,No,No,,DownTrend,,Yes,21,Yes,Yes,,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 29.77411984694843
315,ICIL,1096602.0,141.0,,,,,,No,No,No,,DownTrend,,Yes,,,Yes,,,Today wait for breakout of resistance => 141.0500030517578,63,,Yes,,
316,ICRA,29070.0,4929.0,,,,,,Yes,Yes,Yes,No,DownTrend,Yes,,,,Yes,,,Before wait for breakout of resistance => 5155,,,,False,CMO greater than 25 Buy Signal 
317,IDBI,10000026.0,55.0,,,,,,No,No,No,No,UpTrend,Yes,,,,,Yes,,,,,,,
318,IDEA,108153946.0,7.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
319,IDFC,7830025.0,84.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,Yes,,,63,,,,
320,IDFCFIRSTB,38932324.0,61.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,Yes,,,,,,,
321,IEX,3717628.0,142.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
322,IFBIND,39846.0,935.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1084,,,,,
323,IFCI,20363250.0,14.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,63,,,,
324,IGL,1123043.0,419.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
325,IGPL,32989.0,525.0,,,,,,No,No,No,,DownTrend,Yes,,,,Yes,,,,,,Yes,,
326,IIFL,203160.0,466.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,,,,,,,False,CMO less than -25 Sell Signal 
327,IIFLSEC,241607.0,66.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
328,IIFLWAM,37723.0,1775.0,,,,,,No,Yes,No,No,UpTrend,Yes,,,,,,,Before wait for breakout of resistance => 1815,,,,,
329,IMFA,234768.0,279.0,,,,,,No,No,No,Yes,UpTrend,,Yes,63,,Yes,,,,63,,,,
330,INDHOTEL,1658107.0,320.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 321,,,,,
331,INDIACEM,1735234.0,222.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
332,INDIAGLYCO,15947.0,775.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
333,INDIAMART,20726.0,4351.0,,,,,,No,No,No,,UpTrend,Yes,,,Yes,,Yes,,,,,,,
334,INDIANB,1965006.0,296.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,Yes,,Yes,,,,,,,
335,INDIGO,321586.0,2040.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,
336,INDIGOPNTS,14222.0,1308.0,,,,,,No,No,No,,UpTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 1430,,,,,
337,INDOCO,75448.0,410.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 415,,,,,
338,INDORAMA,83926.0,59.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,,,Before wait for breakout of resistance => 64,,,,,CMO less than -25 Sell Signal 
339,INDOSTAR,35910.0,161.0,,,,,,No,No,No,Yes,UpTrend,Yes,,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
340,INDUSINDBK,2194830.0,1240.0,,,,,,No,No,Yes,No,DownTrend,,,,Yes,,Yes,,,63,,,,
341,INDUSTOWER,878615.0,189.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,
342,INEOSSTYRO,51670.0,799.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,Yes,,,,,,,,
343,INFIBEAM,8684851.0,16.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,,,,,,,,,
344,INFY,4550173.0,1522.0,,,,,,No,Yes,No,,DownTrend,,,,,,,,,,,,,
345,INGERRAND,9777.0,1928.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,,,,,,,,,,
346,INOXLEISUR,227093.0,497.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
347,INOXWIND,289843.0,108.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,CMO less than -25 Sell Signal 
348,INTELLECT,291810.0,447.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
349,IOB,83019250.0,32.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
350,IOC,11485237.0,78.0,,,,,,No,No,No,No,DownTrend,,Yes,,Yes,,Yes,,,,,,,
351,IOLCP,637241.0,371.0,,,,,,No,No,Yes,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 399,,,Yes,,
352,IONEXCHANG,14257.0,2777.0,,,,,,No,Yes,Yes,No,UpTrend,Yes,,,,,Yes,,,,,,False,
353,IPCALAB,239475.0,849.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
354,IPL,82962.0,249.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 263,,,Yes,,
355,IRB,8845505.0,314.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,Yes,Yes,,,,63,,,,
356,IRCON,10154060.0,60.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,
357,IRCTC,2364166.0,644.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
358,IRFC,84788891.0,33.0,,,,,,No,No,No,No,UpTrend,Yes,,,Yes,,Yes,,,63,,,,
359,ISEC,237532.0,502.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
360,ISGEC,60871.0,479.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO less than -25 Sell Signal 
361,ITC,5993839.0,331.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,CMO less than -25 Sell Signal 
362,ITI,196896.0,105.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
363,J&KBANK,10545221.0,57.0,,,,,,No,No,No,No,UpTrend,,,,Yes,,Yes,,,,,,,
364,JAICORPLTD,1140281.0,151.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
365,JAMNAAUTO,255745.0,105.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
366,JBCHEPHARM,20798.0,1982.0,,,,,,No,Yes,No,,DownTrend,Yes,,,Yes,,,,,,,,,
367,JBMA,236029.0,517.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,
368,JCHAC,54882.0,1139.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,Yes,,,,,,,,CMO > 25 and < 30 Strong Buy Signal => 25.01519410749591
369,JINDALPOLY,41604.0,783.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 873,,,Yes,,CMO less than -25 Sell Signal 
370,JINDALSAW,4025162.0,110.0,,,,,,No,No,No,No,DownTrend,,Yes,189,,Yes,,,,63,,,,
371,JINDALSTEL,4002411.0,598.0,,,,,,No,Yes,Yes,No,DownTrend,,Yes,2510,,,Yes,,,63,,,False,CMO greater than 25 Buy Signal 
372,JINDWORLD,106760.0,435.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,Yes,,Yes,,,,,,False,
373,JISLJALEQS,1127306.0,33.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
374,JKCEMENT,54911.0,2964.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,Yes,,,,,,,,False,CMO less than -25 Sell Signal 
